Link,Price,Price per m2,Square,Floor,Floors,Rooms,Is Apartment?,Year,Time to metro,Okrug,District
https://www.cian.ru/sale/flat/301682575/,22100000,375850,58.8,2,12,2,False,2021,14,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301682181/,7900000,331933,23.8,9,18,0,True,2022,12,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301681352/,10685000,283422,37.7,8,19,1,False,2016,6,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301681339/,7990000,237092,33.7,3,10,1,False,2022,14,НАО (Новомосковский),ул. Усадебный Парк
https://www.cian.ru/sale/flat/301669927/,11000000,241758,45.5,3,3,1,False,2014,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301669875/,9900000,188213,52.6,11,12,2,False,1985,12,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301669497/,21500000,247126,87,14,17,4,False,2011,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301666303/,12300000,219643,56,4,14,2,False,2024,19,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301665320/,11500000,224609,51.2,17,17,2,False,2008,9,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301665083/,13399999,231034,58,11,17,2,False,2017,10,НАО (Новомосковский),Подсобного хозяйства Воскресенское поселок
https://www.cian.ru/sale/flat/301664855/,20900000,268983,77.7,16,16,3,False,2019,9,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301663886/,14000000,304348,46,18,26,1,False,2019,14,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301662151/,16800000,279953,60.01,5,10,3,False,2024,8,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301658590/,17500000,277778,63,9,9,2,False,2017,17,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301654972/,7000000,355330,19.7,1,14,0,True,2024,16,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301654658/,7600000,221574,34.3,7,10,1,False,2024,17,НАО (Новомосковский),Кокошкино поселение
https://www.cian.ru/sale/flat/301654643/,8300000,254914,32.56,9,10,1,False,2024,16,НАО (Новомосковский),Кокошкино поселение
https://www.cian.ru/sale/flat/301654642/,17800000,325411,54.7,7,9,2,False,2021,14,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301654537/,13550000,319575,42.4,2,11,2,False,2019,7,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301653842/,12700000,276087,46,20,21,2,False,2018,5,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301652793/,10100000,267905,37.7,6,17,1,False,2008,9,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301652107/,8980000,224500,40,7,12,1,False,1991,7,НАО (Новомосковский),Московский
